,Type,SMS
0,ham,go jurong point crazy avail onli bugi n great world la e buffet cine got amor wat
1,ham,ok lar joke wif u oni
2,spam,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
3,ham,u dun say earli hor u c alreadi say
4,ham,nah nt think goe usf live around though
5,spam,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
6,ham,even brother like speak treat like aid patent
7,ham,per request mell mell oru minnaminungint nurungu vettam ha set callertun caller press copi friend callertun
8,spam,winner valu network custom select receivea prize reward claim call claim code kl valid hour onli
9,spam,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
10,ham,gon na home soon nt want talk thi stuff anymor tonight k cri enough today
11,spam,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
12,spam,urgent week free membership prize jackpot txt word claim c wwwdbuknet lccltd pobox ldnwarw
13,ham,search right word thank thi breather promis wont take help grant fulfil promis wonder bless time
14,ham,date sunday
15,spam,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclubcom nqjkgighjjgcbl
16,ham,oh k watch
17,ham,eh u rememb spell hi name ye v naughti make v wet
18,ham,fine way u feel way gota b
19,spam,england v macedonia dont miss goalsteam news txt ur nation team eg england tri wale scotland txtú poboxoxwwq
20,ham,serious spell hi name
21,ham,go tri month ha ha onli joke
22,ham,ü pay first lar da stock comin
23,ham,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
24,ham,ffffffffff alright way meet sooner
25,ham,forc eat slice realli hungri tho thi suck mark get worri know sick turn pizza lol
26,ham,lol alway convinc
27,ham,catch bu fri egg make tea eat mom left dinner feel love
28,ham,back amp pack car let know room
29,ham,ahhh work vagu rememb doe feel like lol
30,ham,wait still clear sure sarcast whi x doe nt want live us
31,ham,yeah got wa v apologet n fallen wa actin like spoilt child got caught till wo nt go badli cheer
32,ham,k tell anyth
33,ham,fear faint housework quick cuppa
34,spam,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
35,ham,yup ok go home look time msg ü xuhui go learn nd may lesson
36,ham,oop let know roommat done
37,ham,see letter b car
38,ham,anyth lor u decid
39,ham,hello saturday go wa text see decid anyth tomo tri invit anyth
40,ham,pl go ahead watt want sure great weekend abiola
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummi
42,spam,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
43,ham,see
44,ham,great hope like man well endow lt gt inch
45,ham,callsmessagesmiss call
46,ham,nt get hep b immunis nigeria
47,ham,fair enough anyth go
48,ham,yeah hope tyler ca nt could mayb ask around bit
49,ham,u nt know stubborn nt even want go hospit kept tell mark weak sucker hospit weak sucker
50,ham,think first time saw class
51,ham,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,ham,k fyi x ha ride earli tomorrow morn crash place tonight
53,ham,wow never realiz embarass accomod thought like sinc wa best could alway seem happi cave sorri nt nt give sorri offer sorri room wa embarass
54,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,ham,know mallika sherawat yesterday find lt url gt
56,spam,congrat year special cinema pass call c suprman v matrix starwars etc free bxipw pm dont miss
57,ham,sorri call later meet
58,ham,tell reach
59,ham,yesgauti sehwag odi seri
60,ham,gon na pick burger way home ca nt even move pain kill
61,ham,ha ha ha good joke girl situat seeker
62,ham,part check iq
63,ham,sorri roommat took forev ok come
64,ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
65,spam,valu custom pleas advis follow recent review mob award bonu prize call
66,ham,today song dedic day song u dedic send thi ur valuabl frnd first rpli
67,spam,urgent ur award complimentari trip eurodisinc trav aco entry claim txt di morefrmmob shracomorsglsuplt ls aj
68,spam,hear new divorc barbi come ken stuff
69,ham,plane give thi month end
70,ham,wah lucki man save money hee
71,ham,finish class
72,ham,hi babe im home wan na someth xx
73,ham,kk perform
74,ham,u call
75,ham,wait machan call onc free
76,ham,cool gentleman treat digniti respect
77,ham,like peopl veri much veri shi pa
78,ham,doe oper lt gt
79,ham,still look job much ta earn
80,ham,sorri call later
81,ham,k call ah
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup next stop
85,ham,call later nt network urgnt sm
86,ham,real u get yo onli need ticket one jacket done alreadi use multi
87,ham,ye start send request make pain came back back bed doubl coin factori got ta cash nitro
88,ham,realli still tonight babe
89,ham,ela kano il download come wen ur free
90,ham,yeah stand close tho catch someth
91,ham,sorri pain ok meet anoth night spent late afternoon casualti mean nt done ani stuffmoro includ time sheet sorri
92,ham,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
93,spam,pleas call custom servic repres ampm guarante cash prize
94,ham,havent plan buy later check alreadi lido onli got show e afternoon u finish work alreadi
95,spam,free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw
96,ham,watch telugu moviewat abt u
97,ham,see finish load loan pay
98,ham,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand doe caus prob u
99,ham,see cup coffe anim
100,ham,pleas nt text anymor noth els say
101,ham,okay name ur price long legal wen pick u ave x xx
102,ham,still look car buy gone drive test yet
103,ham,per request mell mell oru minnaminungint nurungu vettam ha set callertun caller press copi friend callertun
